,tm-price,sth-price
upper-goal,162.609756097561,61.05
upper-centre,174.82926829268294,94.01
lower-goal,222.21951219512195,122.7
lower-centre,363.3658536585366,210.61
club,439.0487804878049,256.4
sportsbar,295.15,167.27
club-500,533.7179487179487,317.44
